ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,content,unk,directed,hashtag,geocode,source,,,,
,,,,,,,,,,,,pic.twitter.com/jfdksfoned
,0.1560679931,62063,WPB_Evenson,,9/22/17,9/22/2017 0:00,7:06:00 PM,0,0,,,The captains for @DwyerFootball and @PBGFootball refused to shake hands at the coin toss. This is gonna be good! @CWWestPalm #Blitz @CBS12,,@DwyerFootball @PBGFootball @CWWestPalm @CBS12,#Blitz,9.11E+17,https://twitter.com/WPB_Evenson/status/911366050276618241,,,,
,0.8700103548,43638,news6wkmg,,9/24/17,9/24/2017 0:00,5:27:00 PM,0,0,,,Cocoa police investigate death of woman outside 7-Eleven http:// dlvr.it/PqBDvX pic.twitter.com/9gT963UMxG,,,,9.12E+17,https://twitter.com/news6wkmg/status/912065889586909185,,,,
,0.5459663627,25852,hawk954,,9/10/17,9/10/2017 0:00,3:58:00 AM,0,1,,,@CBS12 @WPTV @WPBF25News - PBIA & surrounding areas lost power!,,@CBS12 @WPTV @WPBF25News,,9.07E+17,https://twitter.com/hawk954/status/906788859496861696,,,,
,0.4217979788,60862,WCTV,,9/21/17,9/21/2017 0:00,8:41:00 PM,1,1,,,Inmate faces death penalty for double murder in 1983 http://www. wctv.tv/content/news/I nmate-faces-death-penalty-for-double-murder-in-1983-446608903.html â€¦,,,,9.11E+17,https://twitter.com/WCTV/status/911027592089804802,,,,
,0.488145956,48481,RathburnSheri,,9/26/17,9/26/2017 0:00,11:58:00 AM,1,2,,,"It's about time, dang!",,,,9.13E+17,https://twitter.com/RathburnSheri/status/912708008379142144,,,,
,0.679139312,58426,tresatudrick,,9/10/17,9/10/2017 0:00,2:56:00 PM,0,0,,,"She lived through Donna, now she's hunkering down for Irma http://www. wtsp.com/weather/irma/s he-lived-through-donna-now-shes-hunkering-down-for-irma/472912180 â€¦ via @10NewsWTSP",,@10NewsWTSP,,9.07E+17,https://twitter.com/tresatudrick/status/906954555316781056,,,,
,0.5577750917,61495,wharton_monika,,9/8/17,9/8/2017 0:00,12:39:00 AM,0,0,,,#FLORIDA #PinellasCounty evacuations #irma http://www. wtsp.com/news/pinellas- co-evacuation-better-save-than-sorry/472021988 â€¦ via @10NewsWTSP,,@10NewsWTSP,#FLORIDA #PinellasCounty #irma,9.06E+17,https://twitter.com/wharton_monika/status/906014228372307970,,,,
,0.472710615,67572,zakhudakcbs,,9/12/17,9/12/2017 0:00,11:57:00 PM,0,0,,,That would be fantastic! Can you DM me so I can give you my email?,,,,9.08E+17,https://twitter.com/zakhudakcbs/status/907815532841373696,,,,
,0.0074231304,13471,cher77,,9/5/17,9/5/2017 0:00,3:00:00 PM,0,0,,,Going to miss you. Where are you heading too,,,,9.05E+17,https://twitter.com/cher77/status/905143565520695297,,,,
,0.9897443544,32134,jweinsier,,9/13/17,9/13/2017 0:00,3:39:00 PM,10,35,,,We confront the used car dealer who parked a fleet of cars in a city garage reserved for residents during Irma. At 6 @WPLGLocal10 pic.twitter.com/liAtteLqfG,,@WPLGLocal10,,9.08E+17,https://twitter.com/jweinsier/status/908052502540627970,,,,
,0.1644558858,60248,WalterAllenTV,,9/12/17,9/12/2017 0:00,7:48:00 AM,3,5,,,. @HumaneTampaBay says one of these little guys passed away overnight. They bottle fed them every two hrs during #Irma2017 @FOX13News pic.twitter.com/Wd8lkwxcjf,,@HumaneTampaBay @FOX13News,#Irma2017,9.08E+17,https://twitter.com/WalterAllenTV/status/907571636962037760,,,,
,0.0488003069,02570,3_tiffanynicole,,9/11/17,9/11/2017 0:00,9:27:00 AM,0,0,,,@WPLGLocal10 how is Barbie in the Keys?,,@WPLGLocal10,,9.07E+17,https://twitter.com/3_tiffanynicole/status/907234090021203969,,,,
,0.6742933668,56293,TaniaRogerswptv,,9/13/17,9/13/2017 0:00,12:35:00 PM,1,3,,,Boys and Girls Club in Fort Pierce feeding kids and their families affected by Hurricane Irma. @WPTV pic.twitter.com/4QY3TEWBN5,,@WPTV,,9.08E+17,https://twitter.com/TaniaRogerswptv/status/908006151421177857,,,,
,0.3230600252,09665,BrookeDatz,,9/26/17,9/26/2017 0:00,3:24:00 PM,0,1,,,Oh my lord. Precious baby.,,,,9.13E+17,https://twitter.com/BrookeDatz/status/912759772046381056,,,,
,0.5590946547,59720,VeronicaVCBS12,,9/9/17,9/9/2017 0:00,7:16:00 PM,1,1,,,#BREAKING Tornado warning in place right now for Palm Beach County. Watch @CBS12 on air or online for city by city details pic.twitter.com/TJbLjoVvGJ,,@CBS12,#BREAKING,9.07E+17,https://twitter.com/VeronicaVCBS12/status/906657505769652225,,,,
