Topic,Tweets,Date,Number,Permalink
storm hit just fpl tropical cat days lost went did
,"It is from you neglect from before the storm , TRIM THE DAM TREES",2017-09-15,1,https://twitter.com/JackGang4/status/908817521096187904
,"Retweeted FPL (  ): We have assembled the largest pre-storm restoration workforce in U.S. history, more...  fb.me/6yslAbWVt",2017-09-11,1,https://twitter.com/BlairSangeetC/status/907097526288785408
,"Retweeted FPL (  ): We have assembled the largest pre-storm restoration workforce in U.S. history, more...  fb.me/7V9168Svo",2017-09-10,1,https://twitter.com/BlairCoBreaking/status/906974838656344064
,Delray 3500 ppl No power since 3:45am SUNDAY NOT STORM RELATED.  Please help us. There was an issue on Sat b4 storm as well.,2017-09-10,1,https://twitter.com/JulieMeryl09/status/907088624717627392
, everyone put there hands up and watch how fpl robs us when the bill come for after this storm....,2017-09-11,1,https://twitter.com/sonofdc1105/status/907211834742247424
,"not even just rural. in very populated ne ft. lauderdale but every storm, the neighborhoods get screwed bec. the outages are random streets",2017-09-12,1,https://twitter.com/RobinBorgognone/status/907727613124333568
, your storm surge crew is so rude,2017-09-12,1,https://twitter.com/fantuckintastic/status/907597272254468096
,Same here! And my neighbor's alignment and he's been home since the storm hit,2017-09-12,1,https://twitter.com/bladesout2011/status/907716273542500364
," over the pnyears since last storm, I would like to know what has  done to improve reconnect tech?",2017-09-12,1,https://twitter.com/jarael82/status/907811560688701445
,What's bad is that 2 mil people are without power from this storm.  unprepared for a Cat 1 storm. Can't imagine a Cat4 or worse.,2017-09-10,1,https://twitter.com/theiceman1729/status/907006406729113600
, Thanks for cutting our power three days after the storm. #idiots,2017-09-13,1,https://twitter.com/Mykgreenleaf/status/908054959362514944
,Thanks to all the crews who have worked so hard over last few days. Your pre storm prep & post storm work have been great!! ,2017-09-12,1,https://twitter.com/Joe__Wiseman/status/907576515742887936
,Why is my street ALWAYS one of the last to get power after every storm. Asking for a friend...,2017-09-13,1,https://twitter.com/WolverinesRok/status/907972477078441985
,How could they not know they weren't going to have enough fuel to last during the storm??,2017-09-10,1,https://twitter.com/WickedOne11/status/907091162762174464
, Everyone seemed to have taken precautions and planed for the storm accordingly BUT YOU! You are inept & unprepared. #DukeEnergy,2017-09-14,1,https://twitter.com/POP_ulace/status/908450335693459456
,Yes. They claim its a computer not handling the volume of traffic. I call bullshit! They were woefully unprepared for this storm!,2017-09-16,1,https://twitter.com/NickiMurphy1/status/909115477628252161
,Please last storm we hit updates and they were reassuring,2017-09-12,1,https://twitter.com/cyndilenz/status/907799424528773120
