username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NBCNews|2017-09-19 20:00:23|27|42|University of South Florida St. Petersburg official resigns after fleeing campus ahead of  Irma   http://nbcnews.to/2xPMmsF   pic.twitter.com/0WiJMzrDHk|false|910292518960615424|/NBCNews/status/910292518960615424||||
NBCNews|2017-09-10 02:54:48|127|71|UPDATE: Hurricane  Irma  regains strength, now a Cat 4 again as it heads for Florida __NEWLINE__ http://nbcnews.to/2xdKxEY   pic.twitter.com/C7e1Wnnu4q|false|906772929731612677|/NBCNews/status/906772929731612677||||
NBCNews|2017-09-08 20:30:11|25|43|There’s an app for that: How tech became a lifeline for Harvey and  Irma   http://nbcnews.to/2xcqmqV   pic.twitter.com/n61ihbALfb|false|906313751535738881|/NBCNews/status/906313751535738881||||
NBCNews|2017-09-09 14:32:17|134|165|UPDATE: Hurricane  Irma  expected to strengthen before making landfall in Florida|false|906586069214351360|/NBCNews/status/906586069214351360||||
NBCNews|2017-09-07 23:14:55|341|228|JUST IN: National Weather Service issues first Hurricane Warning for parts of Florida as  Irma  moves closer  http://nbcnews.to/2xTb3RN   pic.twitter.com/CYHseuUi6U|false|905992820753879040|/NBCNews/status/905992820753879040||||
NBCNews|2017-09-09 23:30:08|93|135|TRACKING  IRMA : The latest forecast and satellite images as Hurricane  Irma  heads toward South Florida  http://nbcnews.to/2fbjaRW   pic.twitter.com/1tt7Pjobhw|false|906721423284166656|/NBCNews/status/906721423284166656||||
NBCNews|2017-09-11 12:16:08|111|116|'Jacksonville has record flooding from  Irma , and it''s not high tide yet  http://nbcnews.to/2fe3Zaw   pic.twitter.com/B0ewtcksmZ'|false|907276584637358080|/NBCNews/status/907276584637358080||||
NBCNews|2017-09-10 18:40:37|177|220|In photos: Hurricane  Irma  causes destruction up the Florida coast  http://nbcnews.to/2fcCOgw   pic.twitter.com/DR6Ke15MCY|false|907010952394149888|/NBCNews/status/907010952394149888||||
NBCNews|2017-09-11 07:38:11|22|36|'NEW EPISODE: Where  Irma  is RN—And where it''s headed. Watch StayTuned on Snap:  http://bit.ly/2xVeDKt   pic.twitter.com/veHJdQyqvU'|false|907206635776606208|/NBCNews/status/907206635776606208||||
NBCNews|2017-09-11 09:00:20|189|256|Irma  has knocked out power for 5.8 million people in Florida  http://nbcnews.to/2fdQeZD   pic.twitter.com/7FmPdp6rn0|false|907227309370945537|/NBCNews/status/907227309370945537||||
NBCNews|2017-09-10 07:12:24|148|137|MORE: The northern eyewall of  Irma  has reached the lower Florida Keys, according to NHC  https://twitter.com/NBCNews/status /906836747887284229   …|false|906837759981244416|/NBCNews/status/906837759981244416||||
NBCNews|2017-09-10 10:13:45|114|101|Follow the latest on Hurricane  Irma  here:  http://nbcnews.com/Irma   pic.twitter.com/KPYsgTHb0Q|false|906883394637889536|/NBCNews/status/906883394637889536||||
NBCNews|2017-09-06 11:33:31|224|357|President Trump on Hurricane  Irma : "It looks like it could be something that will be not good. Believe me, not good"  http://snpy.tv/2w7vp7H  |false|905453918196342784|/NBCNews/status/905453918196342784||||
NBCNews|2017-09-08 09:44:37|15|33|WATCH LIVE: Florida Gov. Rick Scott gives update on preparations for Hurricane  Irma   http://nbcnews.to/2xQYUfo   pic.twitter.com/uTmMPrnUlf|false|906151287573684228|/NBCNews/status/906151287573684228||||
NBCNews|2017-09-21 13:12:49|141|80|JUST IN: 10th patient from Florida nursing home that lost power during Hurricane  Irma  has died|false|910914724925198336|/NBCNews/status/910914724925198336||||
NBCNews|2017-09-09 10:59:58|401|281|WATCH: Islands in the Caribbean have been left in ruins after Hurricane  Irma  struck with maximum sustained winds of 155 mph.  pic.twitter.com/sxxLsv9qbP|false|906532640064524289|/NBCNews/status/906532640064524289||||
NBCNews|2017-09-10 10:41:49|531|458|Correction: Video shows rough water in Miami as  Irma  makes landfall in Florida (Rogelio Mora/Telemundo)  pic.twitter.com/IUIuPoFj0w|false|906890461247393793|/NBCNews/status/906890461247393793||||
NBCNews|2017-09-05 19:52:05|194|211|JUST IN: President Trump approves Emergency Declaration in Florida, Puerto Rico, and U.S. Virgin Islands ahead of Hurricane  Irma   pic.twitter.com/WORX6a02uN|false|905216999734857729|/NBCNews/status/905216999734857729||||
NBCNews|2017-09-07 17:03:23|359|259|Three hurricanes:  Irma  (Category 5, center), Katia (Category 1, left), and Jose (Category 3, right) churn in the Atlantic basin  pic.twitter.com/NV6jJyOorj|false|905899319471067136|/NBCNews/status/905899319471067136||||
NBCNews|2017-09-05 10:56:10|439|302|NEW: Hurricane  Irma  is the "strongest hurricane in the Atlantic basin outside of the Caribbean Sea & Gulf of Mexico in NHC records"  pic.twitter.com/qDtt6REKWe|false|905082133525430272|/NBCNews/status/905082133525430272||||
NBCNews|2017-09-12 18:30:18|21|49|Irma  was bad — but its storm surge wasn’t as devastating as feared. Here’s why  http://nbcnews.to/2xjgqfj   pic.twitter.com/LyX4aTIIgG|false|907733135198212096|/NBCNews/status/907733135198212096||||
NBCNews|2017-09-09 15:12:05|90|97|JUST IN: Hurricane  Irma  is moving near the north coast of Cuba with maximum sustained winds of 125 mph, NHC says  pic.twitter.com/PR6pYXhaoQ|false|906596087087190021|/NBCNews/status/906596087087190021||||
NBCNews|2017-09-20 12:36:43|245|173|In the past 28 days, Hurricanes Harvey (Cat 4),  Irma  (Cat 5), Jose (Cat 4), Maria (Cat 5) have formed in the Atlantic. Here are their paths:  pic.twitter.com/Rx8CNB0Qdl|false|910543255091257349|/NBCNews/status/910543255091257349||||
