username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
NHC_Atlantic|2017-09-13 22:42:02|119|104|Hurricane #Jose  Advisory 35: Jose Now Moving Slowly Westward and a Bit Stronger.  http://go.usa.gov/W3H  |Hurricane #Jose  Advisory 35: Jose Now Moving Slowly Westward and a Bit Stronger.    |false|908158871142895618|/NHC_Atlantic/status/908158871142895618|Hurricane #Jose  Advisory 35: Jose Now Moving Slowly Westward and a Bit Stronger.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-10-05 07:40:03|223|105|Tropical Storm #Nate  Advisory 4A: Tropical Depression Becomes Tropical Storm Nate Near The Coast of Nicaragua.  http://go.usa.gov/W3H  |Tropical Storm #Nate  Advisory 4A: Tropical Depression Becomes Tropical Storm Nate Near The Coast of Nicaragua.    |false|915904413520232449|/NHC_Atlantic/status/915904413520232449|Tropical Storm #Nate  Advisory 4A: Tropical Depression Becomes Tropical Storm Nate Near The Coast of Nicaragua.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-28 22:32:02|35|37|Hurricane #Lee  Advisory 44: Lee Weakening and Accelerating Northeastward.  http://go.usa.gov/W3H  |Hurricane #Lee  Advisory 44: Lee Weakening and Accelerating Northeastward.    |false|913592172120870912|/NHC_Atlantic/status/913592172120870912|Hurricane #Lee  Advisory 44: Lee Weakening and Accelerating Northeastward.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2018-03-09 10:31:25|44|59|The Tropical Cyclone Report on Hurricane #Jose , which affected portions of the northeastern Caribbean, New England, and the Mid-Atlantic U.S., has been released. The full report is available at  https://www. nhc.noaa.gov/data/tcr/AL122 017_Jose.pdf   … pic.twitter.com/Y70FMrGiwo|The Tropical Cyclone Report on Hurricane #Jose , which affected portions of the northeastern Caribbean, New England, and the Mid-Atlantic U.S., has been released. The full report is available at   nhc.noaa.gov/data/tcr/AL122 017_Jose.pdf   … |false|972132758293307393|/NHC_Atlantic/status/972132758293307393|The Tropical Cyclone Report on Hurricane #Jose , which affected portions of the northeastern Caribbean, New England, and the Mid-Atlantic U.S., has been released. The full report is available at  https://www. nhc.noaa.gov/data/tcr/AL122 017_Jose.pdf   … pic.twitter.com/Y70FMrGiwo||||
NHC_Atlantic|2017-10-06 04:56:30|282|142|Here are the 5 AM EDT key message for #Nate .  Hurricane and storm surge watches remain in effect for the U.S. Gulf coast. pic.twitter.com/xxAhCZnp32|Here are the 5 AM EDT key message for #Nate .  Hurricane and storm surge watches remain in effect for the U.S. Gulf coast. |false|916225643045621760|/NHC_Atlantic/status/916225643045621760|Here are the 5 AM EDT key message for #Nate .  Hurricane and storm surge watches remain in effect for the U.S. Gulf coast. pic.twitter.com/xxAhCZnp32||||
NHC_Atlantic|2017-09-05 19:44:04|328|267|Hurricane #Irma  Advisory 27A: Now available on the NHC website.  http://go.usa.gov/W3H  |Hurricane #Irma  Advisory 27A: Now available on the NHC website.    |false|905214981381259266|/NHC_Atlantic/status/905214981381259266|Hurricane #Irma  Advisory 27A: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-07 01:56:02|138|122|Hurricane #Irma  Advisory 32A: Now available on the NHC website.  http://go.usa.gov/W3H  |Hurricane #Irma  Advisory 32A: Now available on the NHC website.    |false|905670979862626305|/NHC_Atlantic/status/905670979862626305|Hurricane #Irma  Advisory 32A: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-10-04 07:57:03|483|252|A low over the SW Caribbean should become a tropical depression later today while it moves NW toward Nicaragua  http://hurricanes.gov    #90L pic.twitter.com/PBdReNhj2X|A low over the SW Caribbean should become a tropical depression later today while it moves NW toward Nicaragua      #90L |false|915546302062252032|/NHC_Atlantic/status/915546302062252032|A low over the SW Caribbean should become a tropical depression later today while it moves NW toward Nicaragua  http://hurricanes.gov    #90L pic.twitter.com/PBdReNhj2X||||
NHC_Atlantic|2017-09-06 11:55:55|206|213|Due to high traffic on the NHC website, we will post some #Irma  forecast graphics on Twitter for Advisory 30.  Wind field and warnings: pic.twitter.com/j3K6F8OaIc|Due to high traffic on the NHC website, we will post some #Irma  forecast graphics on Twitter for Advisory 30.  Wind field and warnings: |false|905459554963640321|/NHC_Atlantic/status/905459554963640321|Due to high traffic on the NHC website, we will post some #Irma  forecast graphics on Twitter for Advisory 30.  Wind field and warnings: pic.twitter.com/j3K6F8OaIc||||
NHC_Atlantic|2017-09-05 16:46:56|205|140|Interests in the Leeward Islands should continue to monitor the progress of #Jose .  New advisory:  http://hurricanes.gov   pic.twitter.com/65yDDpFlj3|Interests in the Leeward Islands should continue to monitor the progress of #Jose .  New advisory:     |false|905170405660528640|/NHC_Atlantic/status/905170405660528640|Interests in the Leeward Islands should continue to monitor the progress of #Jose .  New advisory:  http://hurricanes.gov   pic.twitter.com/65yDDpFlj3||||
NHC_Atlantic|2017-09-21 11:15:02|244|148|NHC update on Hurricane Maria 11am AST Advisory https://www. pscp.tv/w/bJJ9djFEWUtY Vkp2dk9wRWd8MWdxR3ZPYVhqTHFKQg8rEhkqygRm-Y26j7DFsLNi_gCHvZLzaaBJUKb4-qDE   …|NHC update on Hurricane Maria 11am AST Advisory  pscp.tv/w/bJJ9djFEWUtY Vkp2dk9wRWd8MWdxR3ZPYVhqTHFKQg8rEhkqygRm-Y26j7DFsLNi_gCHvZLzaaBJUKb4-qDE   …|false|910885086085525504|/NHC_Atlantic/status/910885086085525504|NHC update on Hurricane Maria 11am AST Advisory https://www. pscp.tv/w/bJJ9djFEWUtY Vkp2dk9wRWd8MWdxR3ZPYVhqTHFKQg8rEhkqygRm-Y26j7DFsLNi_gCHvZLzaaBJUKb4-qDE   …||||
NHC_Atlantic|2017-10-07 22:52:03|227|159|'Hurricane #Nate  Advisory 15: Nate''S Northern Eyewall Moving Onshore the Mississippi Coast.  http://go.usa.gov/W3H  '|'Hurricane #Nate  Advisory 15: Nate''S Northern Eyewall Moving Onshore the Mississippi Coast.    '|false|916858702950486017|/NHC_Atlantic/status/916858702950486017|'Hurricane #Nate  Advisory 15: Nate''S Northern Eyewall Moving Onshore the Mississippi Coast.  http://go.usa.gov/W3H  '||||
NHC_Atlantic|2017-09-18 04:50:02|50|61|Tropical Depression #Lee  Advisory 14: Poorly Organized Lee Expected to Become a Remnant Low By Tonight.  http://go.usa.gov/W3H  |Tropical Depression #Lee  Advisory 14: Poorly Organized Lee Expected to Become a Remnant Low By Tonight.    |false|909701033940701184|/NHC_Atlantic/status/909701033940701184|Tropical Depression #Lee  Advisory 14: Poorly Organized Lee Expected to Become a Remnant Low By Tonight.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-10 09:02:44|404|237|...LOWER FLORIDA KEYS IN THE EYE OF #IRMA  - Centered at 9 a.m. about 20 mi east of Key West.   http://hurricanes.gov    @NWS   @NOAA|...LOWER FLORIDA KEYS IN THE EYE OF #IRMA  - Centered at 9 a.m. about 20 mi east of Key West.       @NWS   @NOAA|false|906865525204144128|/NHC_Atlantic/status/906865525204144128|...LOWER FLORIDA KEYS IN THE EYE OF #IRMA  - Centered at 9 a.m. about 20 mi east of Key West.   http://hurricanes.gov    @NWS   @NOAA||||
NHC_Atlantic|2017-09-15 10:34:03|118|76|Tropical Depression #Fourteen  Advisory 3: Depression Forecast to Become a Tropical Storm Later Today.  http://go.usa.gov/W3H  |Tropical Depression #Fourteen  Advisory 3: Depression Forecast to Become a Tropical Storm Later Today.    |false|908700443978731520|/NHC_Atlantic/status/908700443978731520|Tropical Depression #Fourteen  Advisory 3: Depression Forecast to Become a Tropical Storm Later Today.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-22 01:40:02|26|16|Post-Tropical Cyclone #Jose  Advisory 67A: Now available on the NHC website.  http://go.usa.gov/W3H  |Post-Tropical Cyclone #Jose  Advisory 67A: Now available on the NHC website.    |false|911102772111540224|/NHC_Atlantic/status/911102772111540224|Post-Tropical Cyclone #Jose  Advisory 67A: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-17 13:54:03|188|169|Tropical Storm #Maria  Advisory 5A: Air Force Hurricane Hunter Currently Investigating Maria.  http://go.usa.gov/W3H  |Tropical Storm #Maria  Advisory 5A: Air Force Hurricane Hunter Currently Investigating Maria.    |false|909475552125472769|/NHC_Atlantic/status/909475552125472769|Tropical Storm #Maria  Advisory 5A: Air Force Hurricane Hunter Currently Investigating Maria.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-29 16:40:03|31|30|Tropical Storm #Lee  Advisory 47: Lee Rapidly Heading Northeastward Over the Open Atlantic.  http://go.usa.gov/W3H  |Tropical Storm #Lee  Advisory 47: Lee Rapidly Heading Northeastward Over the Open Atlantic.    |false|913865982317391875|/NHC_Atlantic/status/913865982317391875|Tropical Storm #Lee  Advisory 47: Lee Rapidly Heading Northeastward Over the Open Atlantic.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-08 10:50:04|398|620|Hurricane #Irma  Advisory 38: Eye of Hurricane Irma Monitored By Hurricane Hunter Planes And Cuban Radars.  http://go.usa.gov/W3H  |Hurricane #Irma  Advisory 38: Eye of Hurricane Irma Monitored By Hurricane Hunter Planes And Cuban Radars.    |false|906167760908148736|/NHC_Atlantic/status/906167760908148736|Hurricane #Irma  Advisory 38: Eye of Hurricane Irma Monitored By Hurricane Hunter Planes And Cuban Radars.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-10-13 10:49:59|47|55|For information on local impacts from post-tropical #Ophelia  in Ireland, follow @MetEireann , and in the UK follow @MetOffice .|For information on local impacts from post-tropical #Ophelia  in Ireland, follow @MetEireann , and in the UK follow @MetOffice .|false|918851313181642752|/NHC_Atlantic/status/918851313181642752|For information on local impacts from post-tropical #Ophelia  in Ireland, follow @MetEireann , and in the UK follow @MetOffice .||||
NHC_Atlantic|2017-11-09 03:42:03|25|24|Tropical Storm #Rina  Advisory 13: Rina Forecast to Become a Post-Tropical Cyclone Later Today.  http://go.usa.gov/W3H  |Tropical Storm #Rina  Advisory 13: Rina Forecast to Become a Post-Tropical Cyclone Later Today.    |false|928543194857574400|/NHC_Atlantic/status/928543194857574400|Tropical Storm #Rina  Advisory 13: Rina Forecast to Become a Post-Tropical Cyclone Later Today.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-08 05:01:23|1696|2368|# Irma  is expected to move through the SE Bahamas today and approach south Florida on Saturday as a dangerous category 4 hurricane pic.twitter.com/83bh2woM43|# Irma  is expected to move through the SE Bahamas today and approach south Florida on Saturday as a dangerous category 4 hurricane |false|906080012742389760|/NHC_Atlantic/status/906080012742389760|# Irma  is expected to move through the SE Bahamas today and approach south Florida on Saturday as a dangerous category 4 hurricane pic.twitter.com/83bh2woM43||||
NHC_Atlantic|2017-09-15 16:36:03|53|47|Tropical Depression #Fourteen  Advisory 4: Now available on the NHC website.  http://go.usa.gov/W3H  |Tropical Depression #Fourteen  Advisory 4: Now available on the NHC website.    |false|908791545620566017|/NHC_Atlantic/status/908791545620566017|Tropical Depression #Fourteen  Advisory 4: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-18 01:34:02|61|46|Hurricane #Jose  Advisory 51A: Now available on the NHC website.  http://go.usa.gov/W3H  |Hurricane #Jose  Advisory 51A: Now available on the NHC website.    |false|909651707184996352|/NHC_Atlantic/status/909651707184996352|Hurricane #Jose  Advisory 51A: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-27 16:34:02|39|32|Hurricane #Lee  Advisory 39: Lee May Feel the Effects of Shear Tomorrow.  http://go.usa.gov/W3H  |Hurricane #Lee  Advisory 39: Lee May Feel the Effects of Shear Tomorrow.    |false|913139693423927296|/NHC_Atlantic/status/913139693423927296|Hurricane #Lee  Advisory 39: Lee May Feel the Effects of Shear Tomorrow.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-10-27 16:44:02|52|36|Potential Tropical Cyclone #Eighteen  Advisory 1: Now available on the NHC website.  http://go.usa.gov/W3H  |Potential Tropical Cyclone #Eighteen  Advisory 1: Now available on the NHC website.    |false|924013845189939200|/NHC_Atlantic/status/924013845189939200|Potential Tropical Cyclone #Eighteen  Advisory 1: Now available on the NHC website.  http://go.usa.gov/W3H  ||||
